lon,lat,period,zone
35.78670097,32.79600504,Early Pliocene,1
35.7875505,32.79421329,Early Pliocene,1
35.78792487,32.79289434,Early Pliocene,1
35.78925413,32.79061991,Early Pliocene,1
35.79101429,32.78743777,Early Pliocene,1
35.79249359,32.78641381,Early Pliocene,1
35.79454287,32.78539953,Early Pliocene,1
35.80117075,32.78963877,Early Pliocene,1
35.80477014,32.79344898,Early Pliocene,1
35.80506389,32.79356404,Early Pliocene,1
35.8057433,32.79437312,Early Pliocene,1
35.80710405,32.79466608,Early Pliocene,1
35.80847892,32.79559393,Early Pliocene,1
35.80996208,32.79742862,Early Pliocene,1
35.81078139,32.79810805,Early Pliocene,1
35.81166452,32.79918348,Early Pliocene,1
35.81252368,32.80002588,Early Pliocene,1
35.813415,32.80107614,Early Pliocene,1
35.81430939,32.80212997,Early Pliocene,1
35.81461788,32.80255296,Early Pliocene,1
35.81495697,32.80324576,Early Pliocene,1
35.81584964,32.80411146,Early Pliocene,1
35.81703669,32.80520342,Early Pliocene,1
35.81808625,32.80548015,Early Pliocene,1
35.81922716,32.80644634,Early Pliocene,1
35.82056558,32.80701549,Early Pliocene,1
35.82214003,32.80743347,Early Pliocene,1
35.82345106,32.8077546,Early Pliocene,1
35.82506107,32.80835387,Early Pliocene,1
35.82586191,32.80858491,Early Pliocene,1
35.82718372,32.80883309,Early Pliocene,1
35.82880303,32.80929976,Early Pliocene,1
35.82987928,32.80954295,Early Pliocene,1
35.83181077,32.81023374,Early Pliocene,1
35.83248436,32.81130287,Early Pliocene,1
35.83368729,32.81250528,Early Pliocene,1
35.83456024,32.81338473,Early Pliocene,1
35.83627785,32.8149514,Early Pliocene,1
35.83688212,32.81569617,Early Pliocene,1
35.8377593,32.81660469,Early Pliocene,1
35.83805264,32.81695543,Early Pliocene,1
35.83890262,32.81793297,Early Pliocene,1
35.83923691,32.81839296,Early Pliocene,1
35.83960227,32.81920085,Early Pliocene,1
35.84021387,32.81997131,Early Pliocene,1
35.84081293,32.82071101,Early Pliocene,1
35.84193703,32.822151,Early Pliocene,1
35.84267833,32.8231005,Early Pliocene,1
35.84401897,32.82464075,Early Pliocene,1
35.84454394,32.82639644,Early Pliocene,1
35.84496404,32.82761952,Early Pliocene,1
35.84502042,32.82817832,Early Pliocene,1
35.84513727,32.82930315,Early Pliocene,1
35.84588009,32.83052927,Early Pliocene,1
35.84611607,32.83222471,Early Pliocene,1
35.84700454,32.83380391,Early Pliocene,1
35.84749793,32.83520582,Early Pliocene,1
35.84779276,32.8358428,Early Pliocene,1
35.84811178,32.83760939,Early Pliocene,1
